eprintid	eprint_status	created
268	archive	2004-01-28
269	archive	2004-01-28
270	archive	2004-01-28
271	archive	2004-01-28
272	archive	2004-01-28
273	archive	2007-01-29
274	archive	2007-02-01
275	archive	2007-02-01
276	archive	2007-02-05
277	archive	2008-02-15
278	archive	2008-01-22
279	archive	2008-02-15
280	archive	2009-01-23
281	archive	2009-01-23
282	archive	2009-01-23
283	archive	2009-01-23
284	archive	2009-01-23
285	archive	2009-02-06
286	archive	2003-01-27
287	archive	2004-01-28
288	archive	2004-01-28
289	archive	2004-01-28
290	archive	2004-01-28
291	archive	2006-01-24
292	archive	2006-01-24
293	archive	2006-01-24
294	archive	2007-01-23
295	archive	2007-02-06
296	archive	2007-02-06
297	archive	2007-02-06
298	archive	2007-02-12
299	archive	2008-02-15
300	archive	2008-02-15
301	archive	2008-02-15
302	archive	2008-02-15
303	archive	2008-02-15
304	archive	2008-02-15
305	archive	2008-02-15
306	archive	2008-02-15
307	archive	2009-01-23
308	archive	2009-01-23
309	archive	2009-01-26
310	archive	2009-01-26
311	archive	2009-01-26
312	archive	2009-01-26
313	archive	2009-01-26
314	archive	2009-01-26
315	archive	2009-01-23
316	archive	2003-02-14
317	archive	2006-01-27
318	archive	2007-02-06
319	archive	2007-01-29
320	archive	2008-04-02
321	archive	2008-02-15
322	archive	2008-02-15
323	archive	2008-02-15
324	archive	2008-02-21
325	archive	2008-02-15
326	archive	2008-02-20
327	archive	2008-02-20
328	archive	2008-03-11
329	archive	2008-02-20
330	archive	2002-01-28
331	archive	2005-01-25
332	archive	2005-01-25
333	archive	2005-01-25
334	archive	2005-01-27
335	archive	2006-01-26
336	archive	2007-01-25
337	archive	2007-02-09
338	archive	2007-02-09
339	archive	2007-02-09
340	archive	2007-02-09
341	archive	2008-02-20
342	archive	2008-02-20
343	archive	2008-01-25
344	archive	2008-01-30
345	archive	2008-02-20
346	archive	2004-01-28
347	archive	2004-01-28
348	archive	2004-01-29
349	archive	2004-01-29
350	archive	2004-01-29
351	archive	2004-01-29
352	archive	2004-01-29
353	archive	2004-01-29
354	archive	2004-01-29
355	archive	2006-01-26
356	archive	2006-01-26
357	archive	2006-01-26
358	archive	2007-02-09
359	archive	2009-01-26
360	archive	2009-01-26
361	archive	2009-01-26
362	archive	2009-01-26
363	archive	2004-01-29
364	archive	2004-01-29
365	archive	2004-01-29
366	archive	2004-01-29
367	archive	2004-01-29
368	archive	2004-01-29
369	archive	2004-01-29
